,win,loss,76人,公牛,凯尔特人,勇士,国王,太阳,奇才,尼克斯,开拓者,快船,掘金,无主队,森林狼,步行者,活塞,湖人,火箭,灰熊,热火,爵士,独行侠,猛龙,篮网,老鹰,雄鹿,雷霆,马刺,骑士,魔术,鹈鹕,黄蜂
799,尼克斯,老鹰,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,79.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0
800,猛龙,国王,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
801,雄鹿,爵士,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,77.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0
802,凯尔特人,活塞,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,273.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,16.0,3.0,0.0,0.0,0.0
803,火箭,开拓者,5.0,0.0,7.0,13.0,1.0,3.0,0.0,6.0,15.0,17.0,0.0,1290.0,1.0,1.0,0.0,48.0,414.0,0.0,10.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,34.0,28.0,0.0,0.0,1.0
804,森林狼,小牛,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,114.0,18.0,0.0,0.0,2.0,11.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0
805,马刺,热火,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,324.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,6.0,0.0,1.0,0.0
806,湖人,黄蜂,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,398.0,1.0,0.0,2.0,82.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,6.0,1.0,0.0,9.0
807,公牛,尼克斯,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
808,猛龙,灰熊,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0
