,win,loss,76人,公牛,凯尔特人,勇士,国王,太阳,奇才,尼克斯,开拓者,快船,掘金,无主队,森林狼,步行者,活塞,湖人,火箭,灰熊,热火,爵士,独行侠,猛龙,篮网,老鹰,雄鹿,雷霆,马刺,骑士,魔术,鹈鹕,黄蜂
875,76人,奇才,35.0,6.0,10.0,44.0,1.0,2.0,13.0,12.0,2.0,1.0,0.0,531.0,1.0,1.0,4.0,23.0,40.0,1.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,22.0,43.0,0.0,0.0,1.0
876,步行者,骑士,4.0,11.0,30.0,42.0,3.0,5.0,1.0,4.0,0.0,18.0,1.0,1216.0,4.0,15.0,0.0,97.0,47.0,3.0,13.0,0.0,6.0,15.0,2.0,3.0,1.0,18.0,23.0,102.0,0.0,3.0,0.0
877,雄鹿,开拓者,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,56.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0
878,森林狼,鹈鹕,0.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,27.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,8.0,7.0
879,热火,森林狼,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,240.0,12.0,0.0,0.0,4.0,9.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0
880,火箭,步行者,2.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,680.0,0.0,1.0,0.0,8.0,281.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,1.0,0.0
881,魔术,雷霆,7.0,12.0,50.0,61.0,1.0,2.0,0.0,4.0,6.0,4.0,2.0,1155.0,2.0,4.0,1.0,36.0,94.0,0.0,4.0,1.0,8.0,0.0,4.0,0.0,3.0,30.0,24.0,57.0,1.0,0.0,4.0
882,尼克斯,热火,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
883,活塞,太阳,0.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0,25.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0
884,猛龙,黄蜂,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,3.0,9.0,0.0,5.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0
885,奇才,森林狼,2.0,0.0,11.0,34.0,0.0,0.0,12.0,1.0,2.0,1.0,0.0,335.0,7.0,0.0,0.0,16.0,11.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,5.0,15.0,0.0,0.0,0.0
886,篮网,小牛,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,爵士,掘金,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,63.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0
888,爵士,雄鹿,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,0.0,0.0,11.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
889,骑士,热火,1.0,3.0,3.0,6.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,638.0,0.0,0.0,0.0,8.0,14.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,4.0,358.0,1.0,1.0,0.0
890,太阳,公牛,0.0,6.0,0.0,2.0,0.0,18.0,2.0,2.0,1.0,0.0,1.0,74.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
891,雄鹿,国王,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
892,骑士,黄蜂,0.0,4.0,11.0,34.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,889.0,3.0,1.0,0.0,38.0,26.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,11.0,158.0,0.0,1.0,9.0
893,活塞,雷霆,3.0,3.0,20.0,27.0,0.0,3.0,0.0,20.0,0.0,6.0,6.0,1427.0,2.0,10.0,3.0,46.0,203.0,0.0,8.0,1.0,8.0,0.0,2.0,0.0,2.0,57.0,37.0,15.0,1.0,0.0,1.0
894,太阳,森林狼,8.0,2.0,10.0,1.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,257.0,33.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0
895,火箭,篮网,1.0,1.0,5.0,8.0,0.0,3.0,0.0,1.0,2.0,9.0,0.0,630.0,1.0,0.0,0.0,5.0,118.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,6.0,32.0,1.0,3.0,0.0
896,步行者,魔术,4.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,165.0,1.0,32.0,0.0,5.0,20.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,1.0,0.0,0.0
897,骑士, 76人,18.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1031.0,4.0,4.0,3.0,12.0,15.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,13.0,230.0,0.0,0.0,1.0
898,马刺,小牛,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,369.0,2.0,0.0,1.0,8.0,5.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,2.0,89.0,0.0,0.0,0.0,0.0
899,活塞,凯尔特人,0.0,3.0,51.0,15.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,380.0,0.0,1.0,17.0,6.0,11.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,13.0,12.0,0.0,0.0,1.0
900,勇士,鹈鹕,0.0,0.0,3.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,14.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0
901,火箭,尼克斯,2.0,1.0,4.0,7.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0,678.0,1.0,0.0,0.0,3.0,157.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,9.0,36.0,0.0,1.0,0.0
902,小牛,雷霆,4.0,5.0,22.0,31.0,0.0,7.0,0.0,12.0,2.0,7.0,6.0,1133.0,15.0,2.0,2.0,26.0,188.0,1.0,5.0,0.0,50.0,1.0,4.0,0.0,2.0,11.0,58.0,56.0,0.0,9.0,1.0
903,篮网,灰熊,1.0,1.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,256.0,1.0,0.0,0.0,7.0,20.0,14.0,2.0,1.0,0.0,2.0,23.0,0.0,1.0,1.0,4.0,18.0,0.0,0.0,2.0
904,森林狼,太阳,2.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,16.0,0.0,0.0,6.0,18.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0
905,开拓者,奇才,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,21.0,3.0,0.0,98.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
906,热火,公牛,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
907,勇士,公牛,1.0,0.0,13.0,86.0,0.0,2.0,0.0,6.0,10.0,3.0,0.0,623.0,2.0,1.0,1.0,35.0,68.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,8.0,0.0,0.0,0.0
908,凯尔特人,步行者,2.0,0.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,13.0,0.0,0.0,0.0
909,快船,国王,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,161.0,6.0,0.0,5.0,6.0,17.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0
910,马刺,黄蜂,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,0.0,0.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,56.0,2.0,1.0,0.0,2.0
911,猛龙,老鹰,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0
912,雷霆,勇士,10.0,5.0,26.0,76.0,0.0,0.0,2.0,27.0,1.0,6.0,1.0,1642.0,4.0,2.0,1.0,85.0,71.0,1.0,23.0,2.0,37.0,0.0,1.0,0.0,1.0,108.0,33.0,89.0,0.0,3.0,5.0
913,开拓者,篮网,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,4.0,1.0,76.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
914,猛龙,鹈鹕,1.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,1.0,1.0,0.0,7.0,21.0,0.0,6.0,0.0,1.0,58.0,1.0,0.0,0.0,6.0,5.0,17.0,5.0,28.0,0.0
915,凯尔特人,魔术,1.0,0.0,102.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,3.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0
916,鹈鹕,太阳,0.0,1.0,35.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,159.0,2.0,0.0,0.0,8.0,24.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,14.0,0.0
917,步行者,猛龙,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,13.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
918,掘金,灰熊,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
919,凯尔特人,小牛,6.0,4.0,175.0,65.0,0.0,7.0,2.0,2.0,0.0,2.0,0.0,927.0,4.0,2.0,1.0,81.0,33.0,1.0,12.0,1.0,18.0,0.0,1.0,0.0,1.0,8.0,30.0,60.0,1.0,4.0,2.0
920,老鹰,尼克斯,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
921,热火,凯尔特人,1.0,6.0,80.0,29.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,534.0,4.0,1.0,2.0,18.0,24.0,1.0,27.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,12.0,31.0,0.0,0.0,7.0
922,国王,湖人,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,407.0,0.0,0.0,0.0,117.0,11.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
923,森林狼,魔术,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
924,火箭,掘金,2.0,4.0,12.0,5.0,0.0,1.0,1.0,1.0,0.0,41.0,1.0,661.0,2.0,0.0,3.0,21.0,201.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,4.0,23.0,0.0,0.0,0.0
925,爵士,公牛,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
926,尼克斯,猛龙,0.0,3.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,2.0,0.0,85.0,0.0,5.0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0
927,黄蜂,奇才,2.0,0.0,0.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,121.0,0.0,0.0,1.0,1.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,1.0,0.0,13.0
928,雄鹿,太阳,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
929,快船,老鹰,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,185.0,1.0,0.0,1.0,7.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0
930,惨败76人,开拓者,49.0,0.0,3.0,8.0,4.0,1.0,1.0,0.0,7.0,3.0,2.0,343.0,9.0,1.0,1.0,10.0,30.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,19.0,17.0,0.0,0.0,0.0
931,黄蜂,森林狼,4.0,3.0,7.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,277.0,7.0,0.0,0.0,8.0,23.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,11.0,0.0,0.0,3.0
932,湖人,公牛,4.0,2.0,6.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,592.0,1.0,2.0,1.0,243.0,27.0,0.0,2.0,1.0,3.0,0.0,10.0,0.0,0.0,2.0,22.0,22.0,0.0,0.0,6.0
933,篮网,开拓者,2.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,308.0,8.0,0.0,0.0,77.0,32.0,0.0,4.0,0.0,2.0,0.0,23.0,0.0,11.0,1.0,11.0,2.0,0.0,0.0,5.0
934,鹈鹕,雷霆,5.0,7.0,16.0,31.0,25.0,6.0,0.0,2.0,1.0,5.0,0.0,1274.0,1.0,4.0,1.0,96.0,162.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,3.0,75.0,25.0,31.0,4.0,6.0,1.0
935,掘金,国王,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,步行者,魔术,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,122.0,0.0,8.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0
937, 76人,爵士,104.0,1.0,4.0,12.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,286.0,2.0,0.0,0.0,8.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,8.0,1.0,0.0,4.0
938,尼克斯,快船,2.0,3.0,6.0,6.0,6.0,1.0,0.0,3.0,2.0,32.0,0.0,719.0,1.0,1.0,7.0,27.0,80.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,24.0,79.0,3.0,0.0,2.0
939,骑士,活塞,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,430.0,4.0,0.0,0.0,5.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,14.0,118.0,0.0,0.0,0.0
940,马刺,老鹰,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,13.0,0.0,0.0,1.0
941,奇才,雄鹿,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
942,开拓者,灰熊,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
943,湖人,掘金,3.0,0.0,3.0,7.0,0.0,0.0,0.0,8.0,4.0,2.0,1.0,277.0,0.0,1.0,0.0,106.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,15.0,6.0,0.0,0.0,2.0
944,勇士,篮网,4.0,3.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,1.0,1.0,23.0,6.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,3.0,14.0,15.0,0.0,0.0,2.0
945,太阳,公牛,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
946,火箭,太阳,1.0,1.0,12.0,18.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,373.0,4.0,0.0,0.0,49.0,113.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,13.0,33.0,0.0,0.0,3.0
947,活塞,森林狼,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,3.0,0.0,4.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,1.0
948,掘金,鹈鹕,0.0,1.0,10.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,113.0,1.0,0.0,0.0,4.0,29.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,0.0,5.0,0.0
949,骑士,快船,9.0,10.0,8.0,56.0,9.0,0.0,0.0,3.0,1.0,6.0,0.0,947.0,1.0,0.0,1.0,27.0,71.0,3.0,26.0,1.0,2.0,2.0,1.0,0.0,0.0,6.0,21.0,259.0,1.0,0.0,2.0
950,太阳,湖人,2.0,10.0,16.0,11.0,0.0,7.0,0.0,5.0,4.0,1.0,0.0,736.0,3.0,0.0,1.0,155.0,38.0,0.0,3.0,0.0,6.0,0.0,8.0,0.0,0.0,5.0,6.0,33.0,0.0,0.0,1.0
951,火箭,灰熊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,486.0,0.0,5.0,0.0,20.0,159.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,15.0,5.0,0.0,0.0,1.0
952,猛龙,奇才,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,84.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
953,开拓者,国王,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
954,马刺,雷霆,7.0,2.0,10.0,17.0,1.0,1.0,1.0,13.0,1.0,8.0,0.0,1039.0,2.0,3.0,0.0,40.0,129.0,0.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,59.0,117.0,24.0,3.0,0.0,2.0
955,步行者,热火,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
956,凯尔特人,老鹰,0.0,1.0,143.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,311.0,2.0,0.0,0.0,16.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.0,8.0,0.0,0.0,1.0
957,小牛,雄鹿,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,128.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,1.0,59.0,0.0,0.0,0.0,2.0,0.0,18.0,4.0,0.0,0.0,3.0
958,勇士,逆转76人,13.0,2.0,13.0,142.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,916.0,4.0,0.0,0.0,61.0,29.0,3.0,26.0,0.0,16.0,0.0,5.0,1.0,0.0,15.0,24.0,41.0,0.0,0.0,3.0
959,雷霆,尼克斯,1.0,4.0,7.0,9.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,407.0,2.0,0.0,2.0,56.0,36.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,37.0,14.0,22.0,1.0,0.0,1.0
960,黄蜂,快船,0.0,0.0,7.0,9.0,11.0,0.0,3.0,2.0,0.0,41.0,0.0,270.0,2.0,0.0,1.0,15.0,24.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,11.0,10.0,10.0,0.0,0.0,17.0
961,爵士,魔术,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
962,马刺,公牛,1.0,5.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,13.0,13.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,114.0,1.0,2.0,0.0,1.0
963,森林狼,小牛,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,16.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
964,凯尔特人,勇士,14.0,4.0,173.0,271.0,2.0,1.0,1.0,6.0,2.0,11.0,0.0,2075.0,13.0,5.0,2.0,125.0,54.0,0.0,12.0,0.0,8.0,5.0,5.0,3.0,4.0,32.0,63.0,89.0,1.0,2.0,3.0
965,国王,开拓者,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,59.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
966,鹈鹕,快船,0.0,3.0,18.0,7.0,1.0,1.0,0.0,2.0,2.0,17.0,0.0,375.0,4.0,0.0,1.0,19.0,33.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,11.0,26.0,0.0,8.0,1.0
967,公牛,黄蜂,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,128.0,2.0,4.0,0.0,42.0,6.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,31.0
968,步行者,活塞,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,96.0,0.0,21.0,2.0,2.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
969,篮网,爵士,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,46.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
970,猛龙,尼克斯,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0
971,热火,奇才,0.0,0.0,2.0,1.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
972,开拓者,湖人,6.0,5.0,17.0,23.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,826.0,3.0,0.0,0.0,144.0,50.0,2.0,7.0,2.0,6.0,1.0,0.0,0.0,2.0,18.0,20.0,41.0,0.0,1.0,1.0
973,76人,湖人,62.0,12.0,48.0,108.0,0.0,5.0,5.0,16.0,7.0,17.0,0.0,1757.0,7.0,3.0,1.0,149.0,116.0,1.0,37.0,0.0,25.0,1.0,2.0,0.0,0.0,102.0,92.0,122.0,0.0,0.0,3.0
974,奇才,热火,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
975,凯尔特人,篮网,3.0,3.0,156.0,30.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,385.0,2.0,1.0,0.0,34.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,18.0,9.0,0.0,0.0,0.0
976,勇士,猛龙,3.0,5.0,18.0,94.0,0.0,1.0,0.0,3.0,4.0,4.0,0.0,654.0,1.0,0.0,1.0,49.0,51.0,1.0,48.0,0.0,2.0,6.0,0.0,0.0,0.0,16.0,19.0,11.0,2.0,0.0,0.0
